Gene Name	Distal101	Distal102	Distal103	Distal104	Distal2D001	Distal2D002	Distal2D003	Distal2fusion01	Distal2fusion02	Distal2fusion03	Distal2fusion04	Distal301	Distal302	Distal303	Distal304	Proximal101	Proximal102	Proximal103	Proximal104	Proximal2D001	Proximal2D002	Proximal2D003	Proximal2fusion01	Proximal2fusion02	Proximal2fusion03	Proximal2fusion04	Proximal301	Proximal302	Proximal303	Proximal304
si:ch211-271e10.6	21.421	22.15	23.319	22.493	22.19	21.139	21.679	31.948	32.135	32.144	31.839	30.304	28.045	30.254	28.007	22.205	21.964	22.169	22.186	21.097	21.653	21.192	31.449	32.118	31.864	31.706	30.364	28.012	27.981	28.152
anxa3a	25.839	25.475	23.281	27.471	26.386	26.999	26.329	27.43	27.198	26.742	27.204	26.713	26.75	27.13	26.805	25.407	21.476	24.699	23.24	25.49	25.629	26.501	25.772	26.088	26.189	26.067	25.846	25.484	25.388	25.411
lrrc8da	23.051	22.119	21.419	21.967	21.879	21.266	21.133	20.165	19.627	19.953	20.118	21.73	20.394	21.021	20.687	22.13	21.509	23.234	22.655	21.207	21.344	21.3	22.08	20.335	19.855	19.966	21.323	20.786	22.39	21.572
tars	26.323	25.47	27.086	26.041	26.197	26.536	26.14	26.45	26.529	26.417	26.578	26.052	26.959	26.522	27.186	22.83	26.114	25.745	26.085	25.689	25.59	25.654	25.837	26.494	26.35	26.388	26.306	26.177	25.928	26.109
mccc2	22.11	23.306	23.073	29.114	22.432	24.559	21.541	24.018	24.195	24.675	24.336	24.758	24.582	20.438	24.564	22.079	25.104	27.546	25.402	22.35	21.449	23.801	23.752	22.113	24.489	20.967	24.544	24.048	23.817	23.65
nos2a	22.079	21.663	22.118	22.305	22.789	22.771	21.58	21.737	21.423	21.355	21.338	20.558	21.779	21.817	21.918	23.16	21.548	22.642	23.541	21.993	22.548	22.428	20.767	18.966	20.867	19.871	22.207	20.412	21.603	20.722
atp2a3	24.868	24.273	25.897	27.845	24.943	24.984	23.661	24.419	23.845	24.276	23.978	24.697	24.725	24.863	24.178	22.559	22.271	24.801	25.208	24.05	23.891	24.344	25.672	23.854	24.186	24.136	24.932	25.08	24.787	24.852
zcchc8	23.275	22.584	22.086	23.229	21.109	21.254	20.388	19.688	20.952	20.451	20.473	22.152	22.855	20.656	21.853	23.468	22.253	23.539	22.844	22.586	22.206	22.076	19.751	19.979	19.76	20.517	22.268	21.443	20.75	21.619
ube2l3b	24.392	23.556	23.555	24.785	21.862	23.783	23.651	22.13	22.012	20.815	19.898	25.856	25.433	25.761	26.011	24.084	21.844	25.213	26.14	23.701	23.902	23.324	22.029	20.951	20.412	20.148	25.252	24.733	25.556	25.644
khdrbs1a	24.417	25.254	25.289	24.051	27.242	27.081	27.075	28.064	28.394	28.291	28.375	27.659	27.78	27.388	27.694	25.051	24.956	22.834	25.449	27.363	27.044	26.759	27.404	27.955	27.831	28.065	26.214	27.35	26.626	27.526
upk3b	21.619	23.215	23.3	22.954	22.557	23.913	23.854	25.707	25.781	25.556	25.77	25.098	25.104	24.842	24.884	22.753	22.144	21.327	21.353	24.498	24.578	24.447	24.747	25.178	24.704	25.235	24.779	25.053	24.561	24.682
atl3	22.548	21.682	25.705	25.894	26.772	26.965	26.624	27.195	27.41	27.508	27.476	27.763	27.597	27.546	27.674	21.225	23.988	22.877	24.228	26.579	26.715	26.825	26.784	26.894	27.067	27.134	27.051	26.563	26.926	26.511
atic	27.127	27.048	24.338	25.843	27.186	27.366	27.499	27.9	27.918	27.955	27.778	27.009	27.114	26.98	27.103	26.191	27.845	27.598	26.148	27.876	27.375	27.761	27.42	27.682	27.839	27.667	27.601	27.521	27.221	27.7
si:dkey-251i10.2	23.184	23.286	21.62	23.191	22.489	21.863	21.473	24.765	25.081	24.936	24.578	24.169	24.445	21.554	24.163	22.797	22.068	23.368	22.887	20.912	22.776	22.661	23.42	24.262	24.023	23.711	22.995	21.671	21.65	20.637
glipr2	21.638	22.801	22.562	21.295	22.907	21.854	21.523	21.473	20.874	20.325	20.62	21.465	20.613	21.872	23.121	23.295	22.015	21.839	23.373	22.694	21.167	22.842	20.116	21.756	19.46	22.703	20.552	21.025	20.665	21.215
lrsam1	23.256	23.173	23.207	22.979	22.058	20.753	22.181	21.006	19.952	21.085	19.625	22.178	22.635	22.856	20.863	21.744	23.115	22.202	21.86	20.266	20.545	21.01	20.093	20.885	21.134	19.575	20.679	21.895	22.885	22.127
ppp2r4	22.767	22.658	21.639	22.006	22.23	20.55	21.99	23.022	22.775	19.753	20.928	23.644	25.105	25.078	25.424	22.112	22.504	22.29	22.219	20.266	20.545	20.372	20.515	19.94	20.387	21.231	24.636	19.773	24.838	25.033
acadm	26.027	25.982	25.211	21.974	24.656	24.575	24.438	25.124	25.029	24.69	24.834	25.095	24.962	25.326	24.748	25.325	24.311	26.495	25.271	25.115	24.838	24.656	25.644	24.908	25.063	25.025	24.9	25.25	25.574	25.22
mfge8b	21.043	23.044	23.28	23.21	20.997	21.565	21.064	20.928	21.352	20.423	21.682	22.6	21.573	22.67	21.503	22.286	23.429	22.43	22.306	21.059	21.308	20.371	20.739	20.937	18.432	20.492	22.288	22.256	21.245	21.188
mtx1a	23.141	22.423	22.784	21.499	22.03	22.14	21.469	22.515	20.449	22.472	22.108	21.251	21.516	21.734	22.932	22.202	22.572	23.206	22.444	20.397	20.671	21.154	21.975	22.218	21.162	21.822	21.632	20.699	21.627	20.678
vps37b	22.622	22.896	23.164	22.459	21.495	22.512	21.429	20.011	20.323	19.99	20.061	20.896	23	20.991	23.492	22.344	22.702	23.162	23.212	21.979	22.192	20.5	20.832	19.846	21.295	18.558	22.957	23.529	23.537	22.94
ppp3cca	23.012	21.172	22.638	23.116	24.855	23.844	23.292	23.94	23.927	24.079	23.64	23.513	20.95	21.601	20.267	23.131	21.146	22.95	23.169	24.129	22.975	22.691	23.863	23.701	24.336	24.366	22.66	22.479	23.669	20.371
prkacaa	24.721	26.534	23.032	23.377	26.22	20.763	23.564	24.758	25.695	25.476	22.661	25.803	25.38	25.495	25.702	24.563	31.035	22.29	25.109	24.444	24.178	24.081	24.783	23.564	25.098	22.66	25.246	25.498	25.623	25.678
tpd52	27.484	27.047	27.385	28.008	27.996	27.327	27.627	27.641	27.323	27.844	27.305	26.897	26.79	26.848	26.684	27.757	27.844	27.753	27.585	27.336	27.529	27.115	27.671	27.314	27.557	27.656	26.621	26.443	26.441	26.428
zgc:162941	22.385	25.39	24.117	24.403	25.451	25.181	25.914	25.984	26.162	24.734	25.376	26.259	26.228	25.854	26.539	23.086	22.746	22.711	22.959	25.473	25.656	25.435	26.258	24.608	26.058	23.791	26.153	26.093	26.085	26.534
crp3	27.65	27.188	27.869	27.675	27.356	26.956	27.417	27.448	27.973	27.207	28.006	25.417	25.889	25.547	25.88	28.449	28.47	28.497	28.466	28.112	28.392	28.33	27.187	28.476	28.64	28.234	27.014	26.856	26.775	26.776
crp7	22.478	21.77	22.397	21.519	23.869	24.169	24.286	25.309	25.073	24.901	24.952	24.39	24.237	23.946	24.689	22.871	23.254	24.141	22.306	25.311	24.963	25.429	25.04	25.398	25.04	25.24	24.861	24.322	24.539	24.378
crp	20.199	20.477	22.881	23.19	21.839	21.548	21.934	24.614	24.404	24.581	24.332	15.077	15.729	21.303	21.676	22.201	19.791	20.25	20.655	20.693	20.956	22.063	24.985	25.582	25.034	25.198	21.707	22.325	20.399	21.855
si:ch211-288g17.3	26.369	26.677	27.282	26.759	26.004	25.408	26.092	25.735	26.541	26.353	26.451	25.847	25.437	26.163	26.368	27.617	27.092	27.713	27.446	26.014	26.216	26.391	26.545	26.267	25.932	26.631	26.248	26.155	25.738	26.249
ptx3a	22.862	22.294	21.118	22.685	22.78	22.271	21.754	24.389	21.082	21.452	25.235	21.211	24.697	23.135	20.49	22.629	21.675	22.387	26.605	21.821	24.512	21.932	24.076	22.145	23.218	23.018	26.073	26.288	26.922	26.53
exoc1	21.124	22.225	21.729	23.072	22.74	22.199	22.13	21.403	19.752	21.228	19.669	24.085	21.263	23.328	24.042	22.301	25.048	22.712	22.723	22.103	22.311	20.793	21.778	20.488	20.912	21.39	23.401	23.079	21.887	21.193
histh1l	29.643	29.784	29.153	29.531	29.993	30.068	30.261	30.304	30.485	30.457	30.437	29.588	29.337	29.44	29.634	29.106	28.945	29.058	29.243	29.482	29.544	29.812	29.464	29.99	29.801	29.846	28.809	29.11	28.673	28.689
abcf1	21.726	23.386	22.265	27.125	20.811	22.634	20.582	26.215	25.966	25.606	25.261	26.011	25.503	25.801	25.855	27.161	22.049	24.264	22.402	20.248	24.177	22.184	25.61	25.444	25.249	25.076	25.32	26.039	25.891	26.064
cratb	22.255	23.471	22.194	22.536	22.524	21.751	20.527	20.049	20.421	20.35	19.605	18.722	21.471	21.232	18.393	22.63	22.141	23.86	22.724	21.419	20.528	20.354	22.621	25.412	21.816	21.012	22.373	21.528	20.915	20.865
si:ch211-152p11.4	22.185	22.447	23.381	22.938	21.535	21.931	20.391	23.048	23.58	20.499	22.078	23.525	24.166	23.939	23.829	24.204	22.285	22.661	24.259	20.6	21.654	21.51	20.007	19.551	22.984	23.508	20.833	23.106	23.651	23.895
