id	logFC	AveExpr	t	P.Value	adj.P.Val	B
acaca	-0.249466666666667	21.7073333333333	-0.78486578368689	0.438167319020636	0.833576266290295	-6.53672545014807
gsto2	0.301666666666659	25.2111	0.784430829232241	0.438418843763079	0.833576266290295	-6.53706677722471
tubb1	0.416933333333336	22.5315333333333	0.783799018877457	0.438784360660778	0.833576266290295	-6.53756226093093
nup93	-0.453333333333337	23.7366	-0.783376616586489	0.43902883230666	0.833576266290295	-6.537893306459
brd3a	-0.293000000000003	21.3121666666667	-0.782607164437689	0.439474374576368	0.833576266290295	-6.53849590065031
baiap2a	-0.394066666666664	23.5642333333333	-0.781484243674343	0.440125075902824	0.833576266290295	-6.53937428942718
cops7a	0.455866666666662	23.8453333333333	0.781188662296034	0.440296453180974	0.833576266290295	-6.53960530181743
camk2d1	-0.423599999999997	23.9974	-0.780831032147894	0.440503859694271	0.833576266290295	-6.53988469606481
vps4b	-0.409400000000002	24.5915	-0.780541099767987	0.440672048107038	0.833576266290295	-6.5401111118107
mif	-0.347200000000001	26.2837333333333	-0.78053867531259	0.440673454684607	0.833576266290295	-6.54011300478963
fam172a	-0.261800000000004	21.6463	-0.780337532075237	0.44079015978291	0.833576266290295	-6.54027003473139
nmt1a	0.280666666666672	23.3570666666667	0.778791745445263	0.44168765735213	0.833712166101428	-6.54147550959813
nudt5	0.340266666666665	22.4286666666667	0.778586643539194	0.441806823570151	0.833712166101428	-6.54163528439591
pfkpa	0.271866666666675	21.3154666666667	0.778482832721778	0.441867146012318	0.833712166101428	-6.54171613777998
snrnp200	-0.361799999999995	23.8043	-0.778268486422884	0.441991714074775	0.833712166101428	-6.54188304921413
hmgb3b	-0.353933333333341	21.6825	-0.775993030116974	0.443315399109065	0.835290655863684	-6.54365221652414
ndufa9a	-0.247733333333333	21.7394666666667	-0.775399247991852	0.443661205333335	0.835290655863684	-6.54411306098919
crp	0.660666666666664	21.9159333333333	0.775371410011654	0.44367742154277	0.835290655863684	-6.54413465818024
akt2	-0.341800000000003	23.0987666666667	-0.772768307265148	0.445195348216	0.836865159836421	-6.5461508889035
clic1	-0.348399999999994	24.6982666666667	-0.77273297754115	0.445215971043712	0.836865159836421	-6.54617820856085
mrpl12	0.289133333333332	21.6494333333333	0.771201624549857	0.446110406893148	0.836865159836421	-6.54736121131865
myh9a	0.133999999999997	31.1936666666667	0.770785112793617	0.446353869034779	0.836865159836421	-6.54768258419983
bccip	-0.251666666666662	22.2155	-0.77071076526197	0.446397335457011	0.836865159836421	-6.5477399317969
pfdn1	0.266133333333336	23.7760666666667	0.770644686974756	0.44643596947739	0.836865159836421	-6.54779089647757
gnb1	-0.464333333333325	22.5697666666667	-0.770538291771446	0.446498179790773	0.836865159836421	-6.54787294782713
sh3gl1b	-0.358466666666676	22.0151	-0.769170025601475	0.447298678364596	0.837833565058558	-6.54892717318873
qkib	-0.758999999999993	22.3923666666667	-0.768052596323026	0.447953058798376	0.838527222303618	-6.54978679294881
tnks1bp1	-0.227466666666668	21.6023333333333	-0.766921567712041	0.448615982360007	0.838798251913621	-6.55065564726452
ahcyl1	-0.374799999999997	22.6936666666667	-0.766603898850096	0.448802280628004	0.838798251913621	-6.55089945785689
rpl11	0.167000000000005	27.5169	0.766351585029188	0.448950283883307	0.838798251913621	-6.55109303909548
cltcb	-0.285466666666668	24.7977333333333	-0.765797000075991	0.449275696384188	0.838875304064595	-6.55151831402719
cd2ap	-0.359400000000004	24.5523	-0.765060592073357	0.449708013048287	0.838953982779811	-6.55208255824594
mdh2	0.144600000000001	29.0775666666667	0.764757137471364	0.449886231280637	0.838953982779811	-6.5523149162928
paplna	0.352866666666667	25.0576333333333	0.763942494620769	0.450364876368919	0.839316360505712	-6.55293825624149
s100v2	0.130666666666674	28.6651333333333	0.763426217655368	0.450668372156358	0.839352072306353	-6.55333296391769
frmd8	0.2774	21.3876333333333	0.762230372165646	0.45137182063721	0.839742169570937	-6.55424623138894
capns1b	-0.18366666666666	29.0691666666667	-0.762103049253453	0.451446755795758	0.839742169570937	-6.55434338656646
CH211-31O18.2-001	0.333466666666673	23.7981333333333	0.760233400340933	0.452547974419767	0.841260466301733	-6.5557682397976
col14a1a	-0.419666666666672	23.5627666666667	-0.75944306888557	0.45301395476339	0.841596724016065	-6.5563695332418
mat2al	0.197533333333347	22.1561	0.758429590194634	0.45361191756714	0.842177597898237	-6.55713971646411
npepps	-0.335599999999996	28.3948666666667	-0.757034847354962	0.454435591449735	0.843176534229804	-6.55819801458009
hk2	-0.418800000000008	22.9212	-0.756420621308065	0.454798605935256	0.843320028091002	-6.55866347852113
spag7	-0.314000000000007	21.7046666666667	-0.754943545524461	0.455672273690153	0.843912656092275	-6.55978132170051
abracl	0.685666666666677	24.6419666666667	0.754913654400752	0.455689964028146	0.843912656092275	-6.55980392137021
hnrnpa1a	-0.152066666666656	26.2534333333333	-0.751910656604634	0.457469275354599	0.846284087278226	-6.56206998289216
nt5c2a	-0.295399999999997	21.9891666666667	-0.751784968680062	0.457543835804895	0.846284087278226	-6.56216463680956
rac1a	-0.276133333333323	24.0948666666667	-0.751173882725354	0.457906445233649	0.84637460943866	-6.56262461981407
hmgb2b	-0.285133333333334	26.7367666666667	-0.749855676979687	0.458689223425041	0.84637460943866	-6.56361564322692
pdlim5b	-0.303666666666668	26.3525	-0.74979703467288	0.458724064680945	0.84637460943866	-6.56365969129047
15-Sep	-0.238600000000002	22.0899666666667	-0.749477740438137	0.458913794751703	0.84637460943866	-6.56389946475599
myo1b	-0.266466666666663	21.4651	-0.748849566721114	0.459287200552025	0.84637460943866	-6.56437090278852
aifm1	0.292066666666674	23.5632333333333	0.748806091340087	0.459313050244151	0.84637460943866	-6.56440351649475
isoc1	-0.299133333333327	21.2477	-0.74807670807042	0.459746855756825	0.846645488580255	-6.56495040148053
eif4g1a	0.378800000000005	22.4764666666667	0.747316637324332	0.460199168090758	0.846668411789489	-6.56551974783127
gsto1	-0.263866666666669	21.221	-0.747091950910111	0.460332927141643	0.846668411789489	-6.56568794665131
plp1b	0.34353333333334	21.9273	0.745714509859787	0.461153434784367	0.846760967174853	-6.5667180221518
aox3	-0.319333333333329	21.9838666666667	-0.745616269498937	0.461211986794701	0.846760967174853	-6.56679141791115
smad3a	0.222333333333331	22.8356333333333	0.745562930837252	0.461243778867603	0.846760967174853	-6.56683126352102
parp3	-0.32053333333333	23.8299333333333	-0.74412353811646	0.462102200781149	0.847809631265352	-6.56790549369788
uqcrc2b	-0.33046666666667	25.6055666666667	-0.74207304251944	0.463326680694693	0.849528174789276	-6.5694323299678
strn3	-0.239599999999996	21.8193333333333	-0.741324370396477	0.463774230984642	0.849820937223255	-6.56998878995051
serpinf1	0.359733333333324	22.7778	0.740015518802288	0.464557257025368	0.84990266277759	-6.57096030597941
pck2	-0.371666666666663	22.1533666666667	-0.739809914973578	0.464680330301832	0.84990266277759	-6.57111276787263
heatr1	0.311933333333332	21.6599	0.739806201351571	0.464682553429211	0.84990266277759	-6.57111552126696
khdrbs1a	-0.375133333333334	26.7493666666667	-0.737129299558607	0.46628666707831	0.850751074745688	-6.57309678238041
si:dkey-40c23.4	0.241399999999995	21.5401	0.736929336134848	0.466406622667893	0.850751074745688	-6.57324450297961
ralba	0.272800000000004	21.6141333333333	0.736703708631014	0.466541995339945	0.850751074745688	-6.57341113607435
ndufs1	-0.347666666666658	22.6791666666667	-0.736660634611471	0.466567841613773	0.850751074745688	-6.57344294199966
rgn	-0.330799999999996	22.4718666666667	-0.736325445370291	0.466768998054561	0.850751074745688	-6.57369038482335
lsp1	-0.435799999999993	22.8137	-0.735726123978471	0.467128793042607	0.850751074745688	-6.57413254336593
slc25a11	-0.211533333333332	22.1868333333333	-0.735114588349875	0.467496086509661	0.850751074745688	-6.57458335421879
akap12a	0.380066666666671	22.1335666666667	0.734893939461308	0.467628651204188	0.850751074745688	-6.574745922801
