gene_name,logFC,P.Value,adj.P.Val
Slc9a2,-3.416755308,0.00000001090560490616 ,0.00000153885874943725 
Acot2,2.715439464,0.00000001119148608696 ,0.00000156522341697669 
Isg20,-2.607940416,0.00000001150776565578 ,0.00000158483358828606 
Tgfb2,2.256501574,0.00000001153226162066 ,0.00000158483358828606 
Gm3500,-4.876956712,0.00000001181860769946 ,0.00000161018341450295 
Slc50a1,-1.944000989,0.00000001192613500724 ,0.00000161094562097788 
Tmem165,-1.944235612,0.00000001217801833373 ,0.00000163102882835777 
Lss,-2.446559319,0.00000001325782924779 ,0.00000176072885237058 
Slc7a2,-2.617512959,0.00000001385942067042 ,0.00000182528570229422 
Bcl2l1,2.492467222,0.00000001415359903635 ,0.00000184862379479711 
Rasgrp1,-3.865112922,0.00000001473103448595 ,0.00000190827269685165 
Me1,-2.117774663,0.00000001487509543133 ,0.00000191126835932303 
Car5b,-2.122927243,0.00000001543922331777 ,0.00000196775391382307 
Echdc1,-2.18645857,0.00000001560508757242 ,0.00000197298243195626 
Aacs,-2.379042054,0.00000001576401421560 ,0.00000197725778304181 
Klf10,1.977387816,0.00000001616773249600 ,0.00000201192790839945 
Myrf,-2.348898568,0.00000001760685087920 ,0.00000217389586949144 
Stim2,-1.780338799,0.00000001829494017459 ,0.00000224134290324987 
Phf19,-3.420689934,0.00000001898702661230 ,0.00000230823821985266 
Gm16440,-6.858797182,0.00000001968765429484 ,0.00000237514266011961 
Mavs,-2.498452366,0.00000001996871571508 ,0.00000238606132114565 
Sqle,-2.227742301,0.00000002008011615492 ,0.00000238606132114565 
Scd2,-4.625785172,0.00000002083172554649 ,0.00000245689992937908 
Met,2.246659259,0.00000002159133042392 ,0.00000252762508162725 
Dusp6,2.261312712,0.00000002180559335016 ,0.00000253104110739367 
Dlat,-1.730303046,0.00000002194081445918 ,0.00000253104110739367 
Timm8b,-1.867971597,0.00000002251106463815 ,0.00000257800627203840 
Klf15,-3.131897535,0.00000002282284724903 ,0.00000259490847427157 
Rab18,-2.19467709,0.00000002347666076188 ,0.00000262255327741791 
Ptprg,2.349475886,0.00000002349268625301 ,0.00000262255327741791 
C1qtnf1,4.820202987,0.00000002356381709652 ,0.00000262255327741791 
Man2a2,-1.789308098,0.00000002411726247158 ,0.00000266537913357229 
Ccdc120,2.076748871,0.00000002467337235763 ,0.00000270790261624979 
Cdh1,2.097280384,0.00000002532419416514 ,0.00000276016251438522 
Cmtm6,-1.729390278,0.00000002626662133535 ,0.00000284327180536866 
Gm5424,-1.72283947,0.00000002656494548937 ,0.00000285600271097960 
Nid2,-4.829703278,0.00000002720038525812 ,0.00000289893283739178 
Cst3,-2.697169779,0.00000002733111824673 ,0.00000289893283739178 
Mpc1-ps,-1.649220538,0.00000002841243603961 ,0.00000299353426113280 
Car4,-6.222510285,0.00000002873385870025 ,0.00000300735035032250 
Cttnbp2nl,2.816665921,0.00000002940754195562 ,0.00000305411731796044 
Scd3,-2.604468641,0.00000002956719499164 ,0.00000305411731796044 
Mdh1,-1.645573038,0.00000002988347962093 ,0.00000306674358395588 
Gstm7,-3.592327279,0.00000003212404619651 ,0.00000327540920057810 
Cdr2l,-2.369004322,0.00000003342424219493 ,0.00000338613284390203 
Gm12863,-3.35471598,0.00000003430870807257 ,0.00000345359759477051 
Nedd9,1.87750738,0.00000003473984047293 ,0.00000347486353692535 
Pank3,-1.619044772,0.00000003499472301397 ,0.00000347834341202970 
Sertad4,2.807027324,0.00000003550950212791 ,0.00000350745107268448 
Dhcr24,-2.138601294,0.00000004013886733090 ,0.00000394009105153737 
